Title,Edition,Publisher,Publication Place,Publication Country,"Full Text
(combined)
First","Full Text
(combined)
Last","Full Text
(combined)
Gaps","Scholarly / Peer-
Reviewed","Full Text
First","Full Text
Last","Full Text
Gaps","Full
Text - PDF
First","Full
Text - PDF
Last","Full
Text - PDF
Gaps",Embargo Days,"Cit/Abs
(combined)
First","Cit/Abs
(combined)
Last","Cit/Abs
(combined)
Gaps","Other
Formats First","Other
Formats Last","Other
Formats Gaps","Peer-
Reviewed",Pub Type,Pub Language,Notes and Changes
The Golden Star,,Black Press Group Ltd.,"Golden, B.C.",Canada,04-Aug-2004,04-Apr-2022,,N,04-Aug-2004,04-Apr-2022,,,,,,04-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Goldstream Gazette,,Black Press Group Ltd.,"Langford, B.C.",Canada,04-Aug-2004,04-Apr-2022,,N,04-Aug-2004,04-Apr-2022,,,,,,04-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Goldstream News Gazette (Online),,Black Press Group Ltd.,Victoria,Canada,27-Jun-2022,Current,,N,27-Jun-2022,Current,,,,,,27-Jun-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Grand Bend Lakeshore Advance,,Postmedia Network Inc.,Grand Bend,Canada,29-Apr-2015,01-Dec-2021,,N,29-Apr-2015,01-Dec-2021,,,,,,29-Apr-2015,27-Aug-2025,,,,,N,Newspapers,English,
Grand Bend Lakeshore Advance (Online),,Postmedia Network Inc.,Grand Bend,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--22-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--22-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 16-Apr-2021--22-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Grand Forks Gazette (Online),,Black Press Group Ltd.,Grand Forks,Canada,15-Mar-2023,Current,,N,15-Mar-2023,Current,,,,,,15-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Grande Cache Mountaineer,,Postmedia Network Inc.,"Grand Cache, Alta.",Canada,07-Apr-2009,20-Dec-2018,,N,07-Apr-2009,20-Dec-2018,,,,,,07-Apr-2009,20-Dec-2018,,,,,N,Newspapers,English,
Gravenhurst Banner,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Gravenhurst, Ont.",Canada,26-Jan-2011,Current,,N,26-Jan-2011,Current,,,,,,26-Jan-2011,Current,,,,,N,Newspapers,English,
Grey Bruce This Week,,Postmedia Network Inc.,Toronto,Canada,10-Feb-2022,Current,,N,10-Feb-2022,Current,,,,,1,10-Feb-2022,Current,,,,,N,Newspapers,English,
Grimsby Lincoln News,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Thorold, Ont.",Canada,08-Sep-2013,Current,,N,08-Sep-2013,Current,,,,,,08-Sep-2013,Current,,,,,N,Newspapers,English,
Grizzly Gazette,,Postmedia Network Inc.,"Swan Hills, Alta.",Canada,07-Apr-2009,Current,,N,07-Apr-2009,Current,,,,,1,07-Apr-2009,Current,,,,,N,Newspapers,English,
Guardian,,Postmedia Network Inc.,"Charlottetown, P.E.I.",Canada,,,,N,,,,,,,,17-Mar-1997,27-Apr-2007,,,,,N,Newspapers,English,
The Guelph Mercury,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Guelph, Ont.",Canada,15-Sep-1999,29-Jan-2016,,N,15-Sep-1999,29-Jan-2016,,,,,,15-Sep-1999,29-Jan-2016,,,,,N,Newspapers,English,
Guelph Mercury Tribune,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Guelph,Canada,07-Jun-2007,Current,01-Jan-2009--31-Dec-2010; 01-Jan-2013--31-Dec-2016,N,07-Jun-2007,Current,01-Jan-2009--31-Dec-2010; 01-Jan-2013--31-Dec-2016,,,,,07-Jun-2007,Current,01-Jan-2009--31-Dec-2010; 01-Jan-2013--31-Dec-2016,,,,N,"Blogs, Podcasts, & Websites",English,
Gulf Islands Driftwood,,Black Press Group Ltd.,Ganges,Canada,15-Mar-2023,Current,,N,15-Mar-2023,Current,,,,,,15-Mar-2023,Current,,,,,N,Newspapers,English,
Haida Gwaii Observer (Online),,Black Press Group Ltd.,Prince Rupert,Canada,13-Mar-2023,Current,,N,13-Mar-2023,Current,,,,,,13-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
"Hamilton News, Mountain Edition",,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Hamilton, Ont.",Canada,01-Sep-1999,Current,,N,01-Sep-1999,Current,,,,,,01-Sep-1999,Current,,,,,N,Newspapers,English,
The Hamilton Spectator (Online),,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Hamilton,Canada,07-Dec-2016,Current,01-Jan-1994--31-Dec-2001,N,07-Dec-2016,Current,01-Jan-1994--31-Dec-2001,,,,,07-Dec-2016,Current,01-Jan-1994--31-Dec-2001,,,,N,"Blogs, Podcasts, & Websites",English,
Hanna Herald,,Postmedia Network Inc.,Hanna,Canada,18-May-2011,22-Feb-2023,,N,18-May-2011,22-Feb-2023,,,,,,18-May-2011,22-Feb-2023,,,,,N,Newspapers,English,
Hanna Herald (Online),,Postmedia Network Inc.,Hanna,Canada,14-May-2015,Current,01-Jan-2024--31-Dec-2024; 19-Apr-2021--24-Mar-2022,N,14-May-2015,Current,01-Jan-2024--31-Dec-2024; 19-Apr-2021--24-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2024--31-Dec-2024; 19-Apr-2021--24-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Hanover Post,,Postmedia Network Inc.,"Hanover, Ont.",Canada,15-Feb-2000,Current,01-Jan-2006--31-Dec-2006,N,15-Feb-2000,Current,01-Jan-2006--31-Dec-2006,,,,1,15-Feb-2000,Current,01-Jan-2006--31-Dec-2006,,,,N,Newspapers,English,
The Hanover Post (Online),,Postmedia Network Inc.,Hanover,Canada,15-May-2015,Current,15-Apr-2021--04-Apr-2022,N,15-May-2015,Current,15-Apr-2021--04-Apr-2022,,,,1,15-May-2015,Current,15-Apr-2021--04-Apr-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Harbour City Star,,Postmedia Network Inc.,"Nanaimo, B.C.",Canada,26-Jan-2002,10-Apr-2015,,N,26-Jan-2002,10-Apr-2015,,,,,,26-Jan-2002,10-Apr-2015,,,,,N,Newspapers,English,
Herald,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Alliston, Ont.",Canada,16-Feb-2003,Current,,N,16-Feb-2003,Current,,,,,,16-Feb-2003,Current,,,,,N,Newspapers,English,
Here,Moncton ed.,Postmedia Network Inc.,"Moncton, N.B.",Canada,04-Jul-2008,23-Jul-2009,,N,04-Jul-2008,23-Jul-2009,,,,,,04-Jul-2008,23-Jul-2009,,,,,N,Newspapers,English,
Here,,Postmedia Network Inc.,"Saint John, N.B.",Canada,04-Jul-2008,23-Jul-2009,,N,04-Jul-2008,23-Jul-2009,,,,,,04-Jul-2008,23-Jul-2009,,,,,N,Newspapers,English,
Here,"Saint John, Fredericton and Moncton edition",Postmedia Network Inc.,"St. John, N.B.",Canada,04-Jul-2008,28-Aug-2014,,N,04-Jul-2008,28-Aug-2014,,,,,,04-Jul-2008,28-Aug-2014,,,,,N,Newspapers,English,
The High River Times (Online),,Postmedia Network Inc.,High River,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 22-Sep-2021--15-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 22-Sep-2021--15-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 22-Sep-2021--15-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The High River Times,,Postmedia Network Inc.,High River,Canada,21-Apr-2015,Current,,N,21-Apr-2015,Current,,,,,1,21-Apr-2015,Current,,,,,N,Newspapers,English,
The Hinton Parklander (Online),,Postmedia Network Inc.,Hinton,Canada,14-May-2015,27-Jul-2018,,N,14-May-2015,27-Jul-2018,,,,,,14-May-2015,10-Jan-2020,,,,,N,"Blogs, Podcasts, & Websites",English,
The Hinton Parklander,,Postmedia Network Inc.,Hinton,Canada,23-May-2011,13-Jan-2020,,N,23-May-2011,13-Jan-2020,,,,,,23-May-2011,13-Jan-2020,,,,,N,Newspapers,English,
The Hope Standard (Online),,Black Press Group Ltd.,Hope,Canada,10-Mar-2023,Current,,N,10-Mar-2023,Current,,,,,,10-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The House,,Canadian Broadcasting Corporation,Toronto,Canada,06-Jun-2009,Current,,N,06-Jun-2009,Current,,,,,,06-Jun-2009,Current,,,,,N,Other Sources,English,
Houston Today,,Black Press Group Ltd.,"Houston, B.C.",Canada,31-Dec-1969,04-Apr-2022,01-Jan-1970--31-Dec-2004,N,31-Dec-1969,04-Apr-2022,01-Jan-1970--31-Dec-2004,,,,,31-Dec-1969,04-Apr-2022,01-Jan-1970--31-Dec-2004,,,,N,Newspapers,English,
Houston Today (Online),,Black Press Group Ltd.,Houston,Canada,15-Mar-2023,Current,,N,15-Mar-2023,Current,,,,,,15-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Hub,,Northern News Services Limited,"Hay River, N.T.",Canada,15-Mar-2023,Current,,N,15-Mar-2023,Current,,,,,,01-Apr-2009,Current,01-Jan-2014--31-Dec-2022,,,,N,Newspapers,English,
The Independent & Free Press,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Georgetown, Ont.",Canada,01-Oct-2003,Current,,N,01-Oct-2003,Current,,,,,,01-Oct-2003,Current,,,,,N,Newspapers,English,
The Ingersoll Times (Online),,Postmedia Network Inc.,Ingersoll,Canada,14-May-2015,16-Jul-2018,,N,14-May-2015,16-Jul-2018,,,,,,14-May-2015,16-Jul-2018,,,,,N,"Blogs, Podcasts, & Websites",English,
The Ingersoll Times,,Postmedia Network Inc.,Ingersoll,Canada,18-May-2011,11-Jul-2018,,N,18-May-2011,11-Jul-2018,,,,,,18-May-2011,11-Jul-2018,,,,,N,Newspapers,English,
Innisfil Journal,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Innisfil, Ont.",Canada,22-Jan-2010,Current,,N,22-Jan-2010,Current,,,,,,22-Jan-2010,Current,,,,,N,Newspapers,English,
Inside Drumheller,,Alberta Weekly Newspapers Association,Drumheller,Canada,21-Jun-2013,17-Jun-2016,,N,21-Jun-2013,17-Jun-2016,,,,,,21-Jun-2013,17-Jun-2016,,,,,N,Newspapers,English,
InsideHalton.com,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Burlington,Canada,23-Aug-2023,Current,,N,23-Aug-2023,Current,,,,,,22-Aug-2023,Current,,,,,N,Newspapers,English,
InsideOttawaValley.com,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Ottawa,Canada,23-Aug-2023,Current,,N,23-Aug-2023,Current,,,,,,22-Aug-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
InsideToronto.com,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Toronto,Canada,23-Aug-2023,Current,,N,23-Aug-2023,Current,,,,,,23-Aug-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Intelligencer (Online),,Postmedia Network Inc.,Belleville,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 18-Apr-2021--28-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 18-Apr-2021--28-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 18-Apr-2021--28-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Intelligencer,,Postmedia Network Inc.,"Belleville, Ont.",Canada,16-Jul-2005,Current,,N,16-Jul-2005,Current,,,,,1,16-Jul-2005,Current,,,,,N,Newspapers,English,
The Interior News (Online),,Black Press Group Ltd.,Smithers,Canada,26-Mar-2022,Current,,N,26-Mar-2022,Current,,,,,,26-Mar-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Interior News,,Black Press Group Ltd.,"Smithers, B.C.",Canada,12-Aug-2004,04-Apr-2022,,N,12-Aug-2004,04-Apr-2022,,,,,,12-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
The Interlake Spectator (Online),,Postmedia Network Inc.,Interlake,Canada,14-May-2015,01-Aug-2018,,N,14-May-2015,01-Aug-2018,,,,,,14-May-2015,01-Aug-2018,,,,,N,"Blogs, Podcasts, & Websites",English,
The Interlake Spectator,,Postmedia Network Inc.,Interlake,Canada,01-Dec-2011,07-May-2020,,N,01-Dec-2011,07-May-2020,,,,,,01-Dec-2011,07-May-2020,,,,,N,Newspapers,English,
Inuvik Drum,,Northern News Services Limited,Yellowknife,Canada,16-Mar-2023,Current,,N,16-Mar-2023,Current,,,,,,16-Mar-2023,Current,,,,,N,Newspapers,English,
Journal - Pioneer,,Postmedia Network Inc.,"Summerside, P.E.I.",Canada,,,,N,,,,,,,,09-Apr-1999,26-Apr-2007,,,,,N,Newspapers,English,
The Journal,,Black Press Group Ltd.,"Ashcroft, B.C.",Canada,03-Aug-2004,04-Apr-2022,,N,03-Aug-2004,04-Apr-2022,,,,,,03-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Kamloops Daily News,,Postmedia Network Inc.,"Kamloops, B.C.",Canada,16-Aug-1999,11-Jan-2014,,N,16-Aug-1999,11-Jan-2014,,,,,,16-Aug-1999,11-Jan-2014,,,,,N,Newspapers,English,
Kamloops This Week,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Kamloops, B.C.",Canada,,,,N,,,,,,,,04-Aug-2004,23-Oct-2013,,,,,N,Newspapers,English,
Kanata EMC,,Postmedia Network Inc.,"Kanata, Ont.",Canada,03-Apr-2009,11-Jan-2018,,N,03-Apr-2009,11-Jan-2018,,,,,,03-Apr-2009,11-Jan-2018,,,,,N,Newspapers,English,
Kanata Kourier - Standard,,Postmedia Network Inc.,"Nepean, Ont.",Canada,20-Sep-2011,05-Jan-2018,,N,20-Sep-2011,05-Jan-2018,,,,,,20-Sep-2011,05-Jan-2018,,,,,N,Newspapers,English,
Kawartha Lakes This Week,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Lindsay, Ont.",Canada,21-Mar-2003,Current,,N,21-Mar-2003,Current,,,,,,21-Mar-2003,Current,,,,,N,Newspapers,English,
Kelowna Capital News,,Black Press Group Ltd.,"Kelowna, B.C.",Canada,26-Sep-2004,04-Apr-2022,,N,26-Sep-2004,04-Apr-2022,,,,,,26-Sep-2004,04-Apr-2022,,,,,N,Newspapers,English,
Kelowna Capital News (Online),,Black Press Group Ltd.,Kelowna,Canada,02-Mar-2022,Current,,N,02-Mar-2022,Current,,,,,,02-Mar-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Kemptville Advance,,CNW Group Ltd.,"Kemptville, Ont.",Canada,21-Sep-2011,Current,,N,21-Sep-2011,Current,,,,,,21-Sep-2011,Current,,,,,N,Newspapers,English,
Kemptville EMC,,Postmedia Network Inc.,"Kemptville, Ont.",Canada,02-Apr-2009,08-Feb-2018,,N,02-Apr-2009,08-Feb-2018,,,,,,02-Apr-2009,08-Feb-2018,,,,,N,Newspapers,English,
Kenora Daily Miner and News (Online),,Postmedia Network Inc.,Kenora,Canada,14-May-2015,Current,19-Apr-2021--22-Mar-2022,N,14-May-2015,Current,19-Apr-2021--22-Mar-2022,,,,1,14-May-2015,Current,19-Apr-2021--22-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Kimberley Bulletin (Online),,Black Press Group Ltd.,Kimberley,Canada,14-Mar-2023,Current,,N,14-Mar-2023,Current,,,,,,14-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Kincardine News (Online),,Postmedia Network Inc.,Kincardine,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019,,,,N,"Blogs, Podcasts, & Websites",English,
The Kincardine News,,Postmedia Network Inc.,Kincardine,Canada,24-May-2011,Current,,N,24-May-2011,Current,,,,,1,24-May-2011,Current,,,,,N,Newspapers,English,
King Connection,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited",Toronto,Canada,31-Dec-2023,Current,,N,31-Dec-2023,Current,,,,,,18-Oct-2021,Current,,,,,N,Newspapers,English,
Kings County Record,,Postmedia Network Inc.,"Sussex, N.B.",Canada,22-Apr-2008,29-Dec-2020,,N,22-Apr-2008,29-Dec-2020,,,,,,22-Apr-2008,Current,,,,,N,Newspapers,English,
The Kingston Heritage EMC,,Postmedia Network Inc.,"Kingston, Ont.",Canada,02-Apr-2009,22-Nov-2017,,N,02-Apr-2009,22-Nov-2017,,,,,,02-Apr-2009,22-Nov-2017,,,,,N,Newspapers,English,
Kingston Whig - Standard,,Postmedia Network Inc.,"Kingston, Ont.",Canada,14-Jan-1985,Current,01-Jan-1993--20-Mar-1994; 15-Jan-1985--15-Apr-1985,N,14-Jan-1985,Current,01-Jan-1993--20-Mar-1994; 15-Jan-1985--15-Apr-1985,,,,1,14-Jan-1985,Current,01-Jan-1993--20-Mar-1994; 15-Jan-1985--15-Apr-1985,,,,N,Newspapers,English,
The Kingston Whig-Standard (Online),,Postmedia Network Inc.,Kingston,Canada,27-Apr-2007,Current,01-Jan-2009--31-Dec-2014,N,27-Apr-2007,Current,01-Jan-2009--31-Dec-2014,,,,1,27-Apr-2007,Current,01-Jan-2009--31-Dec-2014,,,,N,"Blogs, Podcasts, & Websites",English,
Kingsville Reporter,,Postmedia Network Inc.,Kingsville,Canada,30-Sep-2014,05-May-2020,,N,30-Sep-2014,05-May-2020,,,,,,30-Sep-2014,05-May-2020,,,,,N,Newspapers,English,
Kivalliq News,,Northern News Services Limited,Rankin Inlet,Canada,15-Mar-2023,Current,,N,15-Mar-2023,Current,,,,,,15-Mar-2023,Current,,,,,N,Newspapers,English|Inuktitut,
The Kootenay Advertiser,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Cranbrook, B.C.",Canada,02-Aug-2004,03-Mar-2017,,N,02-Aug-2004,03-Mar-2017,,,,,,02-Aug-2004,03-Mar-2017,,,,,N,Newspapers,English,
L'Étoile Sud-Est,,Postmedia Network Inc.,Richibucto,Canada,26-Apr-2008,23-Jan-2020,,N,26-Apr-2008,23-Jan-2020,,,,,,26-Apr-2008,23-Jan-2020,,,,,N,Newspapers,,
LaSalle Post,,Postmedia Network Inc.,LaSalle,Canada,03-Oct-2014,08-May-2020,,N,03-Oct-2014,08-May-2020,,,,,,03-Oct-2014,08-May-2020,,,,,N,Newspapers,English,
Lacombe Express (Online),,Black Press Group Ltd.,Lacombe,Canada,24-Dec-2021,Current,01-Jan-2022--31-Dec-2022,N,24-Dec-2021,Current,01-Jan-2022--31-Dec-2022,,,,,24-Dec-2021,Current,01-Jan-2022--31-Dec-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Lacombe Globe (Online),,Postmedia Network Inc.,Lacombe,Canada,14-May-2015,13-Jun-2018,,N,14-May-2015,13-Jun-2018,,,,,,14-May-2015,07-Jan-2020,,,,,N,"Blogs, Podcasts, & Websites",English,
The Lacombe Globe,,Postmedia Network Inc.,Lacombe,Canada,19-May-2011,16-Jan-2020,,N,19-May-2011,16-Jan-2020,,,,,,19-May-2011,16-Jan-2020,,,,,N,Newspapers,English,
The Ladysmith - Chemainus Chronicle,,Black Press Group Ltd.,"Ladysmith, B.C.",Canada,03-Aug-2004,04-Apr-2022,,N,03-Aug-2004,04-Apr-2022,,,,,,03-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Ladysmith Chemainus Chronicle,,Black Press Group Ltd.,Ladysmith,Canada,16-Mar-2023,Current,,N,16-Mar-2023,Current,,,,,,16-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Lake Country Calendar (Online),,Black Press Group Ltd.,Kelowna,Canada,06-Apr-2022,Current,,N,06-Apr-2022,Current,,,,,,06-Apr-2022,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
Lake Cowichan Gazette,,Black Press Group Ltd.,"Lake Cowichan, B.C.",Canada,04-Aug-2004,03-Apr-2022,,N,04-Aug-2004,03-Apr-2022,,,,,,04-Aug-2004,03-Apr-2022,,,,,N,Newspapers,English,
The Lake Cowichan Gazette (Online),,Black Press Group Ltd.,Duncan,Canada,15-Mar-2023,Current,,N,15-Mar-2023,Current,,,,,,15-Mar-2023,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Lake Windermere Valley Echo,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Invermere, B.C.",Canada,,,,N,,,,,,,,04-Aug-2004,12-Jul-2017,,,,,N,Newspapers,English,
Lake of the Woods Enterprise,,Postmedia Network Inc.,Kenora,Canada,28-May-2011,23-Jan-2020,,N,28-May-2011,23-Jan-2020,,,,,,28-May-2011,23-Jan-2020,,,,,N,Newspapers,English,
Lakes District News,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Burns Lake, B.C.",Canada,04-Aug-2004,04-Apr-2022,,N,04-Aug-2004,04-Apr-2022,,,,,,04-Aug-2004,04-Apr-2022,,,,,N,Newspapers,English,
Lakeshore News,,Postmedia Network Inc.,Tecumseh,Canada,18-Feb-2011,08-May-2020,,N,18-Feb-2011,08-May-2020,,,,,,18-Feb-2011,08-May-2020,,,,,N,Newspapers,English,
The Lakeside Leader,,Postmedia Network Inc.,"Slave Lake, Alta.",Canada,24-Jun-2009,Current,,N,24-Jun-2009,Current,,,,,1,24-Jun-2009,Current,,,,,N,Newspapers,English,
The Lamont Leader,,Alberta Weekly Newspapers Association,Lamont,Canada,18-Jun-2013,21-Jun-2016,,N,18-Jun-2013,21-Jun-2016,,,,,,18-Jun-2013,21-Jun-2016,,,,,N,Newspapers,English,
Langley Advance,,Postmedia Network Inc.,"Langley, B.C.",Canada,19-Apr-2002,13-Dec-2019,,N,19-Apr-2002,13-Dec-2019,,,,,,19-Apr-2002,13-Dec-2019,,,,,N,Newspapers,English,
Langley Advance Times (Online),,Black Press Group Ltd.,Langley,Canada,04-Nov-2019,Current,01-Jan-2020--31-Dec-2020,N,04-Nov-2019,Current,01-Jan-2020--31-Dec-2020,,,,,04-Nov-2019,Current,01-Jan-2020--31-Dec-2020,,,,N,"Blogs, Podcasts, & Websites",English,
Langley Times,,Black Press Group Ltd.,"Langley, B.C.",Canada,31-Dec-1969,01-May-2019,01-Jan-1970--31-Dec-2003,N,31-Dec-1969,01-May-2019,01-Jan-1970--31-Dec-2003,,,,,31-Dec-1969,01-May-2019,01-Jan-1970--31-Dec-2003,,,,N,Newspapers,English,
Le Parisien,,Le Parisien Libéré,Paris,France,31-Dec-2001,11-Aug-2020,,N,31-Dec-2001,11-Aug-2020,,,,,,31-Dec-2001,11-Aug-2020,,,,,N,Newspapers,French,
Leader Post,,Postmedia Network Inc.,"Regina, Sask.",Canada,01-Jan-2000,Current,,N,01-Jan-2000,Current,,,,,1,01-Jan-2000,Current,,,,,N,Newspapers,English,
The Leader Post (Online),,Postmedia Network Inc.,Regina,Canada,30-Nov-2017,Current,,N,30-Nov-2017,Current,,,,,1,30-Nov-2017,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The Leader,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Surrey, B.C.",Canada,01-Aug-2004,27-Mar-2017,,N,01-Aug-2004,27-Mar-2017,,,,,,01-Aug-2004,27-Mar-2017,,,,,N,Newspapers,English,
The Leduc Representative (Online),,Postmedia Network Inc.,Leduc,Canada,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 14-Apr-2021--24-Mar-2022,N,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 14-Apr-2021--24-Mar-2022,,,,1,14-May-2015,Current,01-Jan-2019--31-Dec-2019; 14-Apr-2021--24-Mar-2022,,,,N,Newspapers,English,
The Leduc Representative,,Postmedia Network Inc.,Leduc,Canada,27-Apr-2007,Current,,N,27-Apr-2007,Current,,,,,1,27-Apr-2007,Current,,,,,N,Newspapers,English,
Les coulisses du pouvoir,,Canadian Broadcasting Corporation,Ottawa,Canada,15-Sep-2013,Current,,N,15-Sep-2013,Current,,,,,,15-Sep-2013,Current,,,,,N,Other Sources,French,
The Lethbridge Herald,,Postmedia Network Inc.,"Lethbridge, Alta.",Canada,02-Mar-2017,Current,,N,02-Mar-2017,Current,,,,,1,02-Mar-2017,Current,,,,,N,Newspapers,English,
The Liberal,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Richmond Hill, Ont.",Canada,10-Feb-2003,Current,,N,10-Feb-2003,Current,,,,,,10-Feb-2003,Current,,,,,N,Newspapers,English,
Lindsay Daily Post,,Postmedia Network Inc.,"Lindsay, Ont.",Canada,04-Apr-2000,31-May-2006,,N,04-Apr-2000,31-May-2006,,,,,,04-Apr-2000,31-May-2006,,,,,N,Newspapers,English,
Listowel Banner,,"Torstar Syndication Services, a Division of Toronto Star Newspapers Limited","Listowel, Ont.",Canada,06-Jun-2003,08-Nov-2003,,N,06-Jun-2003,08-Nov-2003,,,,,,06-Jun-2003,08-Nov-2003,,,,,N,Newspapers,English,
Lloydminster Meridian Booster (Online),,Postmedia Network Inc.,Lloydminster,Canada,14-May-2015,24-May-2018,,N,14-May-2015,24-May-2018,,,,,,14-May-2015,24-May-2018,,,,,N,"Blogs, Podcasts, & Websites",English,
Lloydminster Source,,Alberta Weekly Newspapers Association,Lloydminster,Canada,18-Jun-2013,23-Jun-2016,,N,18-Jun-2013,23-Jun-2016,,,,,,18-Jun-2013,23-Jun-2016,,,,,N,Newspapers,English,
The Logic,,The Logic Inc.,Toronto,Canada,12-Jun-2018,Current,,N,12-Jun-2018,Current,,,,,,12-Jun-2018,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The London Free Press (Online),,Postmedia Network Inc.,London,Canada,14-May-2015,Current,,N,14-May-2015,Current,,,,,1,14-May-2015,Current,,,,,N,"Blogs, Podcasts, & Websites",English,
The London Free Press,,Postmedia Network Inc.,London,Canada,27-Apr-2007,Current,,N,27-Apr-2007,Current,,,,,1,27-Apr-2007,Current,,,,,N,Newspapers,English,
Londoner,,Postmedia Network Inc.,London,Canada,22-Apr-2010,Current,,N,22-Apr-2010,Current,,,,,1,22-Apr-2010,Current,,,,,N,Newspapers,English,
Londoner (Online),,Postmedia Network Inc.,London,Canada,15-May-2015,Current,23-Sep-2021--27-Mar-2022,N,15-May-2015,Current,23-Sep-2021--27-Mar-2022,,,,1,15-May-2015,Current,23-Sep-2021--27-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
Lucknow Sentinel (Online),,Postmedia Network Inc.,Lucknow,Canada,14-May-2015,Current,24-Sep-2021--17-Mar-2022,N,14-May-2015,Current,24-Sep-2021--17-Mar-2022,,,,1,14-May-2015,Current,24-Sep-2021--17-Mar-2022,,,,N,"Blogs, Podcasts, & Websites",English,
The Lucknow Sentinel,,Postmedia Network Inc.,Lucknow,Canada,29-Apr-2015,Current,,N,29-Apr-2015,Current,,,,,1,29-Apr-2015,Current,,,,,N,Newspapers,English,
The Macleod Gazette,,Postmedia Network Inc.,"Fort Macleod, Alta.",Canada,01-Apr-2009,Current,,N,01-Apr-2009,Current,,,,,1,01-Apr-2009,Current,,,,,N,Newspapers,English,
Le Madawaska,,Postmedia Network Inc.,"Edmundston, N.B.",Canada,25-Apr-2008,21-Apr-2018,,N,25-Apr-2008,21-Apr-2018,,,,,,25-Apr-2008,21-Apr-2018,,,,,N,Newspapers,French,
